genre_ids,id,language,title,overview,popularity,release_date,vote_average,vote_count,release_month,release_year,genre
"[28, 878, 12]",786892,en,Furiosa: A Mad Max Saga,"As the world falls, young Furiosa is snatched from the Green Place of Many Mothers into the hands of a great biker horde led by the warlord Dementus. Sweeping through the wasteland, they encounter the citadel presided over by Immortan Joe. The two tyrants wage war for dominance, and Furiosa must survive many trials as she puts together the means to find her way home.",22.4315,2024-05-22,7.5,4009,May,2024,Action
"[28, 878, 12]",786892,en,Furiosa: A Mad Max Saga,"As the world falls, young Furiosa is snatched from the Green Place of Many Mothers into the hands of a great biker horde led by the warlord Dementus. Sweeping through the wasteland, they encounter the citadel presided over by Immortan Joe. The two tyrants wage war for dominance, and Furiosa must survive many trials as she puts together the means to find her way home.",22.4315,2024-05-22,7.5,4009,May,2024,Science Fiction
"[28, 878, 12]",786892,en,Furiosa: A Mad Max Saga,"As the world falls, young Furiosa is snatched from the Green Place of Many Mothers into the hands of a great biker horde led by the warlord Dementus. Sweeping through the wasteland, they encounter the citadel presided over by Immortan Joe. The two tyrants wage war for dominance, and Furiosa must survive many trials as she puts together the means to find her way home.",22.4315,2024-05-22,7.5,4009,May,2024,Adventure
"[16, 10751, 14]",14836,en,Coraline,"Wandering her rambling old house in her boring new town, 11-year-old Coraline discovers a hidden door to a strangely idealized version of her life. In order to stay in the fantasy, she must make a frighteningly real sacrifice.",22.6309,2009-02-05,7.9,8288,February,2009,Animation
"[16, 10751, 14]",14836,en,Coraline,"Wandering her rambling old house in her boring new town, 11-year-old Coraline discovers a hidden door to a strangely idealized version of her life. In order to stay in the fantasy, she must make a frighteningly real sacrifice.",22.6309,2009-02-05,7.9,8288,February,2009,Family
"[16, 10751, 14]",14836,en,Coraline,"Wandering her rambling old house in her boring new town, 11-year-old Coraline discovers a hidden door to a strangely idealized version of her life. In order to stay in the fantasy, she must make a frighteningly real sacrifice.",22.6309,2009-02-05,7.9,8288,February,2009,Fantasy
"[18, 10751]",765897,en,The Unbreakable Boy,"When Scott and Teresa LeRette learn that their son Austin is both autistic and has brittle bone disease, they initially worry for their son’s future. But with Scott’s growing faith and Austin’s incredible spirit, they become 'unbreakable', finding joy, gratitude, and courage even in the most trying times.",22.5391,2025-02-20,6.6,20,February,2025,Drama
"[18, 10751]",765897,en,The Unbreakable Boy,"When Scott and Teresa LeRette learn that their son Austin is both autistic and has brittle bone disease, they initially worry for their son’s future. But with Scott’s growing faith and Austin’s incredible spirit, they become 'unbreakable', finding joy, gratitude, and courage even in the most trying times.",22.5391,2025-02-20,6.6,20,February,2025,Family
"[53, 28, 80]",156022,en,The Equalizer,"McCall believes he has put his mysterious past behind him and dedicated himself to beginning a new, quiet life. But when he meets Teri, a young girl under the control of ultra-violent Russian gangsters, he can’t stand idly by – he has to help her. Armed with hidden skills that allow him to serve vengeance against anyone who would brutalize the helpless, McCall comes out of his self-imposed retirement and finds his desire for justice reawakened. If someone has a problem, if the odds are stacked against them, if they have nowhere else to turn, McCall will help. He is The Equalizer.",23.4524,2014-09-24,7.3,9257,September,2014,Thriller
"[53, 28, 80]",156022,en,The Equalizer,"McCall believes he has put his mysterious past behind him and dedicated himself to beginning a new, quiet life. But when he meets Teri, a young girl under the control of ultra-violent Russian gangsters, he can’t stand idly by – he has to help her. Armed with hidden skills that allow him to serve vengeance against anyone who would brutalize the helpless, McCall comes out of his self-imposed retirement and finds his desire for justice reawakened. If someone has a problem, if the odds are stacked against them, if they have nowhere else to turn, McCall will help. He is The Equalizer.",23.4524,2014-09-24,7.3,9257,September,2014,Action
